series_id	year	period	value
CES6500000001    	1979	M08	        6812	          
CES6500000001    	1979	M09	        6830	          
CES6500000001    	1979	M10	        6858	          
CES6500000001    	1979	M11	        6879	          
CES6500000001    	1979	M12	        6908	          
CES6500000001    	1980	M01	        6942	          
CES6500000001    	1980	M02	        6975	          
CES6500000001    	1980	M03	        7002	          
CES6500000001    	1980	M04	        7020	          
CES6500000001    	1980	M05	        7034	          
CES6500000001    	1980	M06	        7048	          
CES6500000001    	1980	M07	        7077	          
CES6500000001    	1980	M08	        7104	          
CES6500000001    	1980	M09	        7134	          
CES6500000001    	1980	M10	        7159	          
CES6500000001    	1980	M11	        7194	          
CES6500000001    	1980	M12	        7227	          
CES6500000001    	1981	M01	        7254	          
CES6500000001    	1981	M02	        7273	          
CES6500000001    	1981	M03	        7285	          
CES6500000001    	1981	M04	        7313	          
CES6500000001    	1981	M05	        7331	          
CES6500000001    	1981	M06	        7352	          
CES6500000001    	1981	M07	        7371	          
CES6500000001    	1981	M08	        7393	          
CES6500000001    	1981	M09	        7417	          
CES6500000001    	1981	M10	        7446	          
CES6500000001    	1981	M11	        7459	          
CES6500000001    	1981	M12	        7471	          
CES6500000001    	1982	M01	        7490	          
CES6500000001    	1982	M02	        7497	          
CES6500000001    	1982	M03	        7502	          
CES6500000001    	1982	M04	        7501	          
CES6500000001    	1982	M05	        7513	          
CES6500000001    	1982	M06	        7519	          
CES6500000001    	1982	M07	        7530	          
CES6500000001    	1982	M08	        7536	          
CES6500000001    	1982	M09	        7537	          
CES6500000001    	1982	M10	        7545	          
CES6500000001    	1982	M11	        7565	          
CES6500000001    	1982	M12	        7576	          
CES6500000001    	1983	M01	        7594	          
CES6500000001    	1983	M02	        7601	          
CES6500000001    	1983	M03	        7648	          
CES6500000001    	1983	M04	        7689	          
CES6500000001    	1983	M05	        7715	          
CES6500000001    	1983	M06	        7766	          
CES6500000001    	1983	M07	        7810	          
CES6500000001    	1983	M08	        7847	          
CES6500000001    	1983	M09	        7883	          
CES6500000001    	1983	M10	        7906	          
CES6500000001    	1983	M11	        7933	          
CES6500000001    	1983	M12	        7973	          
CES6500000001    	1984	M01	        8001	          
CES6500000001    	1984	M02	        8046	          
CES6500000001    	1984	M03	        8080	          
CES6500000001    	1984	M04	        8121	          
CES6500000001    	1984	M05	        8162	          
CES6500000001    	1984	M06	        8200	          
CES6500000001    	1984	M07	        8226	          
CES6500000001    	1984	M08	        8254	          
CES6500000001    	1984	M09	        8303	          
CES6500000001    	1984	M10	        8343	          
CES6500000001    	1984	M11	        8380	          
CES6500000001    	1984	M12	        8413	          
CES6500000001    	1985	M01	        8464	          
CES6500000001    	1985	M02	        8499	          
CES6500000001    	1985	M03	        8544	          
CES6500000001    	1985	M04	        8574	          
CES6500000001    	1985	M05	        8620	          
CES6500000001    	1985	M06	        8652	          
CES6500000001    	1985	M07	        8686	          
CES6500000001    	1985	M08	        8748	          
CES6500000001    	1985	M09	        8778	          
CES6500000001    	1985	M10	        8819	          
CES6500000001    	1985	M11	        8864	          
CES6500000001    	1985	M12	        8894	          
CES6500000001    	1986	M01	        8912	          
CES6500000001    	1986	M02	        8936	          
CES6500000001    	1986	M03	        8965	          
CES6500000001    	1986	M04	        9002	          
CES6500000001    	1986	M05	        9032	          
CES6500000001    	1986	M06	        9061	          
CES6500000001    	1986	M07	        9111	          
CES6500000001    	1986	M08	        9160	          
CES6500000001    	1986	M09	        9164	          
CES6500000001    	1986	M10	        9202	          
CES6500000001    	1986	M11	        9232	          
CES6500000001    	1986	M12	        9268	          
CES6500000001    	1987	M01	        9312	          
CES6500000001    	1987	M02	        9338	          
CES6500000001    	1987	M03	        9383	          
CES6500000001    	1987	M04	        9431	          
CES6500000001    	1987	M05	        9484	          
CES6500000001    	1987	M06	        9520	          
CES6500000001    	1987	M07	        9602	          
CES6500000001    	1987	M08	        9670	          
CES6500000001    	1987	M09	        9643	          
CES6500000001    	1987	M10	        9686	          
CES6500000001    	1987	M11	        9711	          
CES6500000001    	1987	M12	        9752	          
CES6500000001    	1988	M01	        9793	          
CES6500000001    	1988	M02	        9838	          
CES6500000001    	1988	M03	        9883	          
CES6500000001    	1988	M04	        9938	          
CES6500000001    	1988	M05	        9996	          
CES6500000001    	1988	M06	       10095	          
CES6500000001    	1988	M07	       10181	          
CES6500000001    	1988	M08	       10263	          
